# Distance modulii for Carnegie Supernova Project (CSP) and
# Harvard Center for Astrophysics (CfA) type Ia supernovae
# survey = 1 --> CfA
# survey = 2 --> CSP
SN               zcmb     DM       eDM     survey
SN2001C          0.01109  33.295   0.086   1
SN2001G          0.01733  34.204   0.041   1
SN2001N          0.02207  34.807   0.213   1
SN2001V          0.01604  33.699   0.035   1
SN2001ah         0.05833  36.929   0.117   1
SN2001ay         0.03091  35.686   0.147   1
SN2001az         0.04060  36.180   0.132   1
SN2001bf         0.01520  33.936   0.135   1
SN2001da         0.01598  34.261   0.142   1
SN2001eh         0.03620  35.905   0.121   1
SN2001en         0.01494  33.883   0.137   1
SN2001ep         0.01306  33.561   0.036   1
SN2001fe         0.01449  33.794   0.035   1
SN2001fh         0.01211  33.503   0.046   1
SN2001gb         0.02679  35.241   0.200   1
SN2001gc         0.01931  34.420   0.202   1
SN2001ic         0.04300  36.293   0.159   1
SN2001ie         0.03120  35.527   0.140   1
SN2002bo         0.00529  31.775   0.070   1
SN2002bz         0.03782  36.013   0.156   1
SN2002cd         0.00974  33.297   0.075   1
SN2002ck         0.03031  35.454   0.136   1
SN2002cr         0.01038  33.175   0.048   1
SN2002de         0.02827  35.325   0.040   1
SN2002dj         0.01044  32.614   0.031   1
SN2002do         0.01517  34.128   0.167   1
SN2002dp         0.01045  33.203   0.040   1
SN2002es         0.02791  35.194   0.169   1
SN2002fb         0.01474  34.113   0.208   1
SN2002fk         0.00662  32.406   0.035   1
SN2002ha         0.01305  33.774   0.034   1
SN2002hd         0.03151  35.527   0.145   1
SN2002he         0.02484  35.103   0.093   1
SN2002hu         0.02924  35.773   0.038   1
SN2002hw         0.01633  34.364   0.066   1
SN2002jy         0.01871  34.810   0.136   1
SN2002kf         0.01947  34.627   0.127   1
SN2003D          0.02324  34.897   0.207   1
SN2003K          0.02187  34.706   0.199   1
SN2003U          0.02818  35.326   0.049   1
SN2003W          0.02113  34.467   0.060   1
SN2003ae         0.03377  35.745   0.161   1
SN2003ai         0.03692  35.933   0.097   1
SN2003cg         0.00531  31.816   0.092   1
SN2003ch         0.02934  35.576   0.056   1
SN2003du         0.00665  32.710   0.036   1
SN2003ic         0.05458  36.809   0.132   1
SN2003it         0.02396  35.047   0.037   1
SN2003iv         0.03358  35.897   0.039   1
SN2003kc         0.03408  35.742   0.152   1
SN2003kf         0.00769  32.386   0.036   1
SN2004as         0.03209  35.908   0.062   1
SN2004bg         0.02212  34.782   0.169   1
SN2004ef         0.02977  35.425   0.048   1
SN2004ef         0.02977  35.497   0.022   2
SN2004eo         0.01474  33.959   0.032   2
SN2004ey         0.01463  34.008   0.021   2
SN2004fu         0.00867  33.025   0.111   1
SN2004gc         0.03071  35.417   0.123   2
SN2004gs         0.02828  35.525   0.027   2
SN2004gu         0.04690  36.345   0.044   2
SN2005A          0.01834  34.305   0.096   2
SN2005M          0.02558  34.818   0.157   1
SN2005M          0.02558  35.107   0.028   2
SN2005W          0.00795  32.810   0.027   2
SN2005ag         0.08008  37.594   0.026   2
SN2005al         0.01329  34.042   0.028   2
SN2005am         0.00897  32.374   0.127   1
SN2005am         0.00897  32.415   0.026   2
SN2005be         0.03558  35.832   0.111   2
SN2005bg         0.02416  34.909   0.110   2
SN2005bl         0.02511  35.174   0.084   2
SN2005bo         0.01501  34.004   0.027   2
SN2005cf         0.00705  32.198   0.030   1
SN2005dv         0.01064  33.500   0.141   1
SN2005el         0.01488  33.824   0.031   1
SN2005el         0.01488  34.034   0.033   2
SN2005eq         0.02835  35.331   0.028   2
SN2005eq         0.02835  35.381   0.040   1
SN2005eu         0.03412  35.629   0.082   1
SN2005hc         0.04450  36.522   0.029   2
SN2005hf         0.04210  36.250   0.142   1
SN2005hj         0.05695  36.850   0.044   2
SN2005hk         0.01183  33.944   0.088   1
SN2005hk         0.01183  33.959   0.078   2
SN2005iq         0.03293  35.872   0.027   2
SN2005iq         0.03293  35.880   0.037   1
SN2005ir         0.07523  37.444   0.039   2
SN2005kc         0.01389  33.846   0.068   1
SN2005kc         0.01389  34.019   0.031   2
SN2005ke         0.00448  31.584   0.066   1
SN2005ke         0.00448  31.646   0.057   2
SN2005ki         0.02037  34.592   0.035   1
SN2005ki         0.02037  34.627   0.026   2
SN2005ku         0.04418  36.348   0.117   2
SN2005ls         0.02051  34.568   0.122   1
SN2005lu         0.03129  35.684   0.153   1
SN2005lu         0.03129  35.734   0.121   2
SN2005mc         0.02601  35.216   0.120   2
SN2005mc         0.02601  35.351   0.043   1
SN2005ms         0.02592  35.243   0.037   1
SN2005mz         0.01703  34.134   0.062   1
SN2005na         0.02681  35.089   0.027   2
SN2005na         0.02681  35.138   0.118   1
SN2006D          0.00964  32.859   0.034   1
SN2006D          0.00964  32.895   0.024   2
SN2006H          0.01348  33.896   0.160   1
SN2006N          0.01427  33.945   0.123   1
SN2006S          0.03294  35.795   0.040   1
SN2006X          0.00632  30.854   0.101   1
SN2006X          0.00632  30.986   0.097   2
SN2006ac         0.02395  34.765   0.029   1
SN2006ak         0.03911  36.024   0.126   1
SN2006ar         0.02292  34.940   0.056   1
SN2006ax         0.01796  34.182   0.033   1
SN2006ax         0.01796  34.280   0.025   2
SN2006az         0.03147  35.487   0.036   1
SN2006bb         0.02584  35.093   0.121   1
SN2006bd         0.02680  35.133   0.171   1
SN2006bd         0.02680  35.284   0.102   2
SN2006bh         0.01049  33.366   0.025   2
SN2006bk         0.04997  36.007   0.100   1
SN2006bq         0.02146  34.768   0.138   1
SN2006br         0.02552  35.324   0.144   2
SN2006br         0.02552  35.392   0.149   1
SN2006bt         0.03248  35.690   0.050   1
SN2006bw         0.03077  35.465   0.131   1
SN2006bz         0.02880  35.120   0.084   1
SN2006cc         0.03267  35.827   0.044   1
SN2006cf         0.04229  36.286   0.145   1
SN2006cg         0.02894  35.192   0.150   1
SN2006cm         0.01526  34.442   0.089   1
SN2006cp         0.02332  34.941   0.065   1
SN2006cq         0.04914  36.622   0.048   1
SN2006cs         0.02437  34.847   0.185   1
SN2006cz         0.04253  36.084   0.139   1
SN2006ef         0.01703  34.322   0.164   1
SN2006ef         0.01703  34.378   0.151   2
SN2006ej         0.01934  34.518   0.147   1
SN2006ej         0.01934  34.645   0.124   2
SN2006em         0.01853  34.225   0.185   1
SN2006en         0.03080  35.518   0.122   1
SN2006eq         0.04837  36.613   0.112   2
SN2006et         0.02165  34.614   0.046   1
SN2006et         0.02165  34.731   0.027   2
SN2006eu         0.02293  34.784   0.179   1
SN2006ev         0.02760  35.433   0.114   1
SN2006ev         0.02760  35.493   0.116   2
SN2006fw         0.08199  37.808   0.109   2
SN2006gj         0.02697  35.477   0.060   1
SN2006gj         0.02697  35.710   0.035   2
SN2006gr         0.03348  35.796   0.040   1
SN2006gt         0.04364  36.311   0.127   1
SN2006gt         0.04364  36.367   0.043   2
SN2006ha         0.02943  35.500   0.165   1
SN2006hb         0.01534  33.936   0.134   1
SN2006hb         0.01534  33.985   0.122   2
SN2006hx         0.04440  36.502   0.143   2
SN2006is         0.03142  35.432   0.116   2
SN2006je         0.03712  35.967   0.137   1
SN2006ke         0.01713  34.610   0.207   1
SN2006kf         0.02080  34.738   0.049   1
SN2006kf         0.02080  34.817   0.029   2
SN2006le         0.01727  34.034   0.026   1
