id ra dec z_peak lmass SFR_tot
16 150.41338 1.605285 2.1113 10.49 21.804
63 150.40193 1.6161658 2.1447 11.36 25.362
75 150.40135 1.6167812 1.896 10.43 1.035
134 150.39764 1.62703 1.9219 10.18 26.532
163 150.38246 1.6299638 2.1256 11.05 3.058
306 150.46429 1.6527289 2.0768 10.52 2.675
494 150.43143 1.6607053 2.1918 10.2 59.007
532 150.5058 1.6619772 2.1291 10.1 25.401
580 150.60487 1.6629809 1.8313 10.66 73.513
608 150.43262 1.6642439 1.866 10.1 21.66
622 150.61464 1.6649073 2.1375 10.11 2.037
626 150.47964 1.6642516 1.9481 10.72 137.848
679 150.60204 1.6668924 2.131 10.03 4.299
728 150.67278 1.6670295 1.8825 10.88 88.65
826 150.46132 1.6706492 1.902 10.34 0.714
846 150.61572 1.6709192 2.1462 10.01 2.644
893 150.64903 1.6718557 1.8792 10.59 3.154
907 150.45992 1.6724033 1.856 10.48 261.268
911 150.60109 1.672892 2.0675 10.83 130.366
972 150.43462 1.6740574 1.8018 10.28 1.003
1100 150.51591 1.6777515 2.1352 10.25 56.365
1132 150.46033 1.6788563 1.9933 10.67 37.524
1157 150.67511 1.6800359 2.1913 10.36 1.068
1162 150.46278 1.6799836 2.0201 10.41 30.037
1204 150.42081 1.6810848 1.9158 10.64 101.325
1219 150.39639 1.6796947 1.9122 10.97 103.846
1225 150.40195 1.6815805 1.8888 10.97 5.992
1237 150.66328 1.6826757 2.16 10.8 0.916
1275 150.40984 1.6831919 1.861 10.52 45.908
1300 150.61707 1.6840075 2.0999 10.03 1.231
1428 150.61618 1.6866866 1.81 10.72 95.111
1487 150.42361 1.6890674 2.1762 10.93 157.981
1492 150.66711 1.6894104 1.8506 10.31 5.202
1524 150.46756 1.6906215 2.0595 10.5 100.241
1535 150.39189 1.6908087 2.0525 10.01 52.795
1558 150.39105 1.6914393 2.0826 10.32 2.161
1601 150.47067 1.6926847 1.832 10.27 53.574
1609 150.60085 1.6930349 2.0977 10.13 3.094
1622 150.66727 1.6934922 1.902 10.13 2.796
1640 150.48599 1.6939552 1.8072 10.46 0.679
1680 150.42859 1.6953044 1.9086 10.09 9.434
1799 150.59154 1.6990551 1.8635 10.56 0.627
1887 150.46664 1.7022905 1.9747 10.38 2.435
2026 150.41643 1.7062657 2.1946 10.04 14.09
2104 150.63075 1.7081116 1.87 11.18 125.715
2158 150.61826 1.7093751 1.843 11.11 190.261
2235 150.66695 1.7129265 2.1637 10.56 41.577
2317 150.66585 1.715609 1.9949 10.17 19.75
2329 150.40814 1.7148719 2.1566 11.2 358.678
2375 150.62376 1.7163291 2.0885 10.21 8.23
2384 150.46725 1.7173289 2.1213 10.78 198.618
2427 150.40366 1.7180694 1.8472 10.13 39.579
2487 150.48949 1.7192384 2.031 10.76 78.468
2533 150.5094 1.7211777 2.1437 10.52 3.966
2590 150.67572 1.7226002 2.0178 10.8 57.82
2592 150.49385 1.7227591 1.8538 10.7 5.459
2635 150.66582 1.7238901 2.1523 10.62 88.293
2678 150.4913 1.7244784 2.0496 10.46 79.257
2713 150.4704 1.7255139 1.8488 10.66 243.378
2744 150.67432 1.7270547 2.0142 10.22 2.891
2766 150.38315 1.7239451 1.8756 11.12 236.817
2805 150.38449 1.7282596 1.9313 10.32 2.84
2828 150.65369 1.729232 2.1992 10.43 35.698
2859 150.67587 1.7294304 2.009 10.33 64.958
2865 150.39619 1.7290592 1.9486 10.88 24.995
2868 150.60382 1.7306558 2.1193 10.53 22.167
2880 150.50015 1.7306149 1.8414 10.73 4.404
2893 150.40868 1.7310243 1.8645 10.62 2.302
2894 150.40591 1.7271088 1.9094 11.33 73.915
2930 150.41486 1.7319983 2.1098 10.6 34.037
2961 150.66624 1.7339705 2.0524 10.2 64.72
3108 150.37737 1.7380825 2.1589 10.16 13.153
3163 150.58307 1.7404773 2.0162 10.75 4.708
3190 150.4478 1.7405515 2.017 10.85 39.066
3262 150.65057 1.7432863 1.8856 10.71 1.088
3309 150.67911 1.7448335 1.9488 10.16 1.24
3322 150.40033 1.7447499 2.1006 10.86 7.499
3345 150.49135 1.7461491 1.9664 10.19 5.366
3352 150.407 1.7460179 1.8112 10.67 82.769
3419 150.64172 1.7478333 1.959 10.12 0.748
